Time,Column1,Column2,Column3,Label
2024-12-26 07:14:53,26.84,105.69,6.0,AsleepCore
2024-12-26 07:14:58,26.84,105.62,7.0,AsleepCore
2024-12-26 07:15:03,26.87,105.56,7.0,AsleepCore
2024-12-26 07:15:08,26.84,105.56,7.0,AsleepCore
2024-12-26 07:15:13,26.84,105.5,7.0,AsleepCore
2024-12-26 07:15:18,26.84,105.37,7.0,AsleepCore
2024-12-26 07:15:23,26.84,105.19,6.0,AsleepCore
2024-12-26 07:15:28,26.84,105.31,6.0,AsleepCore
2024-12-26 07:15:33,26.81,105.25,7.0,AsleepCore
2024-12-26 07:15:38,26.81,105.44,8.0,AsleepCore
2024-12-26 07:15:43,26.84,105.19,6.0,AsleepCore
2024-12-26 07:15:48,26.84,105.12,7.0,AsleepCore
2024-12-26 07:15:53,26.81,105.19,7.0,AsleepCore
2024-12-26 07:15:58,26.84,105.12,8.0,AsleepCore
2024-12-26 07:16:03,26.84,105.25,7.0,AsleepCore
2024-12-26 07:16:08,26.81,105.31,7.0,AsleepCore
2024-12-26 07:16:14,26.81,105.37,6.0,AsleepCore
2024-12-26 07:16:18,26.84,105.5,7.0,AsleepCore
2024-12-26 07:16:24,26.81,105.62,7.0,AsleepCore
2024-12-26 07:16:29,26.84,105.44,7.0,AsleepCore
2024-12-26 07:16:34,26.81,105.37,7.0,AsleepCore
2024-12-26 07:16:39,26.87,105.37,7.0,AsleepCore
2024-12-26 07:16:44,26.84,105.06,7.0,AsleepCore
2024-12-26 07:16:49,26.87,105.25,6.0,AsleepCore
2024-12-26 07:16:54,26.84,105.0,8.0,AsleepCore
2024-12-26 07:16:59,26.81,104.94,6.0,AsleepCore
2024-12-26 07:17:04,26.87,104.62,6.0,AsleepCore
2024-12-26 07:17:09,26.87,104.87,7.0,AsleepCore
2024-12-26 07:17:14,26.84,104.75,7.0,AsleepCore
2024-12-26 07:17:19,26.84,104.62,7.0,AsleepCore
2024-12-26 07:17:24,26.87,104.5,6.0,AsleepCore
2024-12-26 07:17:29,26.81,104.25,7.0,AsleepCore
2024-12-26 07:17:34,26.84,104.06,6.0,AsleepCore
2024-12-26 07:17:40,26.87,103.87,7.0,AsleepCore
2024-12-26 07:17:45,26.84,103.81,7.0,AsleepCore
2024-12-26 07:17:49,26.87,103.69,7.0,AsleepCore
2024-12-26 07:17:54,26.84,103.62,8.0,AsleepCore
2024-12-26 07:17:59,26.87,103.44,7.0,AsleepCore
2024-12-26 07:18:05,26.87,103.31,6.0,AsleepCore
2024-12-26 07:18:10,26.87,103.25,6.0,AsleepCore
2024-12-26 07:18:15,26.84,103.19,6.0,AsleepCore
2024-12-26 07:18:20,26.84,103.31,6.0,AsleepCore
2024-12-26 07:18:25,26.87,103.31,8.0,AsleepCore
2024-12-26 07:18:30,26.91,103.94,6.0,AsleepCore
2024-12-26 07:18:35,26.87,104.37,8.0,AsleepCore
2024-12-26 07:18:40,26.87,104.44,7.0,AsleepCore
2024-12-26 07:18:45,26.84,104.81,7.0,AsleepCore
2024-12-26 07:18:50,26.87,104.81,7.0,AsleepCore
2024-12-26 07:18:55,26.91,104.87,7.0,AsleepCore
2024-12-26 07:19:00,26.84,104.94,7.0,AsleepCore
2024-12-26 07:19:05,26.87,104.87,6.0,AsleepCore
2024-12-26 07:19:10,26.84,104.94,7.0,AsleepCore
2024-12-26 07:19:15,26.91,104.75,7.0,AsleepCore
2024-12-26 07:19:20,26.87,104.56,7.0,AsleepCore
2024-12-26 07:19:25,26.94,104.56,7.0,AsleepCore
2024-12-26 07:19:31,26.91,104.44,7.0,AsleepCore
2024-12-26 07:19:36,26.87,104.37,8.0,AsleepCore
2024-12-26 07:19:41,26.87,104.56,7.0,AsleepCore
2024-12-26 07:19:46,26.91,104.37,8.0,AsleepCore
2024-12-26 07:19:51,26.91,104.5,7.0,AsleepCore
2024-12-26 07:19:56,26.87,104.56,7.0,AsleepCore
2024-12-26 07:20:01,26.91,104.75,6.0,AsleepCore
2024-12-26 07:20:06,26.91,104.69,6.0,AsleepCore
2024-12-26 07:20:11,26.87,104.5,6.0,AsleepCore
2024-12-26 07:20:16,26.91,104.62,7.0,AsleepCore
2024-12-26 07:20:21,26.87,104.75,7.0,AsleepCore
2024-12-26 07:20:26,26.91,104.81,8.0,AsleepCore
2024-12-26 07:20:31,26.91,104.75,6.0,AsleepCore
2024-12-26 07:20:36,26.91,104.87,7.0,AsleepCore
2024-12-26 07:20:41,26.91,104.87,8.0,AsleepCore
2024-12-26 07:20:46,26.91,104.94,6.0,AsleepCore
2024-12-26 07:20:51,26.91,104.81,7.0,AsleepCore
2024-12-26 07:20:57,26.94,104.75,7.0,AsleepCore
2024-12-26 07:21:02,26.91,104.75,6.0,AsleepCore
2024-12-26 07:21:07,26.91,105.25,7.0,AsleepCore
2024-12-26 07:21:12,26.94,105.0,8.0,AsleepCore
2024-12-26 07:21:16,26.91,105.25,7.0,AsleepCore
2024-12-26 07:21:22,26.91,105.37,7.0,AsleepCore
2024-12-26 07:21:27,26.91,105.69,7.0,AsleepCore
2024-12-26 07:21:32,26.94,105.62,7.0,AsleepCore
2024-12-26 07:21:37,26.94,105.5,6.0,AsleepCore
2024-12-26 07:21:42,26.91,105.5,7.0,AsleepCore
2024-12-26 07:21:47,26.91,105.5,7.0,AsleepCore
2024-12-26 07:21:52,26.94,105.5,7.0,AsleepCore
2024-12-26 07:21:57,26.94,105.62,7.0,AsleepCore
